id,title,duration_s,entropy_norm,effective_states,self_retention,transition_entropy_norm,detailed_balance_violation,metastability_slem,free_energy_range,heat_capacity,triplet_irreversibility,permutation_entropy,statistical_complexity,hurst_pc1,time_asymmetry_tau1,time_asymmetry_tau5,speed_mean,speed_cv,acceleration_mean,turn_angle_mean,tortuosity,rqa_recurrence_rate,rqa_determinism,rqa_mean_diag,rqa_max_diag,rqa_laminarity,rqa_trapping_time,topo_h1_count,topo_h1_sig_count,topo_h1_total,topo_h1_max,topo_h1_entropy
CHP01,A Wonderful Nightmare Chiptune version,30.0,0.47351578353656576,3.7168053455130674,0.7280006714789312,0.2835134904322517,0.07309887527278819,0.7392527802458229,5.916202061965171,1.2967252404452028,0.12396629784071159,0.8877178146690271,0.16845423785832064,0.5997434484772771,0.167472478993567,0.38117440721969315,1.6964091044907845,1.3475490401534578,2.609866156586185,1.6725389562578865,453.63955909529574,0.28758535071384234,0.5564429095618388,2.578,16.0,0.7364558601338225,2.940112020680741,26,0,0.4809742085635662,0.06946875154972076,2.9137837174032195
CHP02,Sometimes,30.006666666666668,0.6431392644896254,5.948628397492296,0.5872831303063852,0.4162892532567492,0.19545342684877537,0.691741885813042,5.533389488085069,0.9896369979532109,0.3079251601378972,0.8795958872012531,0.1636507349696848,0.5926168048892828,0.25168217344797733,-0.9491653255796747,1.4432045532583067,0.9352200888713006,2.1259227597964085,1.561036371823153,220.60629326900022,0.16989447548106765,0.4004384362440628,2.2738589211618256,7.0,0.5759956156375593,2.2569792412312095,27,2,1.3211685791611671,0.19895553588867188,2.791634203888106
CHP03,Pretty Good Chiptune don t know what to call,30.0,0.391609673364445,2.961727058484516,0.4745035429971124,0.3659491824483795,0.0778978217128859,0.27198210049898397,3.795489189093504,0.5470254765895526,0.0681919345644034,0.8853502028238881,0.19677661911762245,0.6943087172434971,0.3516530387178921,0.2558216274696779,1.5053123569389755,0.6058083623579854,2.372026821104799,1.782108473652186,584.3340033146944,0.06554934823091248,0.14015151515151508,2.276923076923077,7.0,0.17897727272727265,2.088397790055249,39,4,2.065900981426239,0.2674192786216736,3.181312706112224
CHP04,Aeitia PD Famitracker Chiptune Dump,30.0,0.46013832826685275,3.581473613577079,0.6127776722992206,0.3481219466383832,0.023515690688654393,0.6787383810301763,5.545177443838078,0.446015722279538,0.016687038422483928,0.9654210031208178,0.0625227282227229,0.9488879160522721,-0.0006792098349639843,-0.022363826681908096,1.114754916844546,0.5816341959089301,1.9147907895002039,2.026795212715261,403.7910621559236,0.05990068280571074,0.1979274611398963,2.146067415730337,6.0,0.35440414507772006,2.235294117647059,30,5,2.227170318365097,0.18752050399780273,3.100607238137979
CHP05,Lo fi chiptune glitch D n B,30.0,0.6181173222212821,5.549928898592019,0.5710869565217382,0.44018953772506986,0.08712732919254645,0.7202245197178827,5.30330490741828,0.348838435201447,0.14127824317169974,0.9018781736739302,0.15383991533539199,0.8678243957632715,0.0011482161168029595,-0.011958976729633357,1.340483015785183,0.7303215851130198,1.9729916794673326,1.5891344757514265,374.7399337694693,0.08826815642458101,0.31364275668073127,2.3978494623655915,8.0,0.20991561181434593,2.2029520295202953,32,0,1.1195672303438187,0.14634931087493896,3.035499258303945
CHP06,Chiptune Plucked,30.0,0.8047286819383282,9.31086192912372,0.3190993788819871,0.5443790380636907,0.40380843412879963,0.6744098956429566,3.9318256325138687,0.7079910766774016,0.511922839169848,0.8843552654207605,0.19251745982584728,0.5310589845490247,0.12403972573265273,-0.1366390428733026,3.0385055402657506,0.6069685761445369,4.642410934258756,1.7494922636895571,314.0682618390392,0.07982619490999379,0.26594090202177284,2.235294117647059,6.0,0.22083981337480552,2.1353383458646618,27,3,1.4300141334533691,0.26438334584236145,2.661757890129155
CHP07,Classical Pop Chiptune,30.0,0.4881959661339458,3.8712081041680984,0.670512260610765,0.33983665363348914,0.10862690864389217,0.6438199954246829,5.953243333645457,1.4290148014191537,0.1714956174744855,0.8738547057651104,0.1939551197291246,0.7903985704114703,0.04113360402469669,0.26594564969269596,2.485856090632636,0.8100443688567894,3.7627983920660775,1.574102743796776,232.39718879786042,0.06027312228429547,0.20803295571575686,2.1956521739130435,7.0,0.27394438722966,2.216666666666667,44,0,2.349809393286705,0.13519278168678284,3.532262238135399
CHP08,Bebop Chiptune,30.0,0.4026549575695464,3.0538301641928034,0.6672290571747082,0.31559218920202214,0.05887183468705198,0.5896746513097474,5.74620318989821,0.6406567603734817,0.054995051235565466,0.928959254939486,0.12234542294536734,0.5939391272747915,0.11197736343454864,0.2974814978675303,1.0622743095445213,0.5801742789260856,1.6083477978676401,1.6985917317376007,342.9329573618641,0.05139664804469274,0.14613526570048302,2.0508474576271185,3.0,0.16123188405797093,2.0538461538461537,41,2,2.550979048013687,0.23383134603500366,3.3193068301047735
CHP09,Something,30.0,0.5490915082491564,4.583234278508939,0.6655575273587684,0.3411858035423314,0.060805481612934933,0.7755144119308927,5.147494476493325,1.2662146265480838,0.10138251987607627,0.8862135277445785,0.18649916919131523,0.7869637699116309,-0.5253095971319848,-0.05172715412332947,1.1564375054690323,1.399813483695529,1.8297371595263374,1.6180370292902848,260.69572062620864,0.16939788950962134,0.4829607914987174,2.5642023346303504,11.0,0.496702088677171,2.4645454545454544,25,0,0.8416737765073776,0.12314268946647644,2.8038590800216165
CHP10,chiptune police loop,30.0,0.4168045922901358,3.1760164154413584,0.6762281197063795,0.31540589325711316,0.031112365894974542,0.6282360763992257,3.645449896123882,0.6885984737853821,0.02283723286238816,0.9108328316205124,0.15016015240582375,0.7231500883249751,0.21126500475701512,0.002955283100774324,0.8867564739769316,0.7034443051385001,1.3971624400531448,1.7594741238211413,179.16297197249446,0.05667287399130975,0.14019715224534496,2.064516129032258,3.0,0.2157721796276012,2.095744680851064,40,3,2.639280915260315,0.22773593664169312,3.361650123714055
